freq_GHz,Sdd11_dB,S11_single_ended_dB,VSWR_differential
2.567600,-6.8978,-3.5116,2.6494
2.569300,-6.9082,-3.5072,2.6458
2.571000,-6.9187,-3.5030,2.6422
2.572700,-6.9292,-3.4988,2.6386
2.574400,-6.9397,-3.4947,2.6350
2.576100,-6.9502,-3.4907,2.6314
2.577800,-6.9608,-3.4868,2.6278
2.579500,-6.9713,-3.4830,2.6242
2.581200,-6.9819,-3.4793,2.6207
2.582900,-6.9925,-3.4757,2.6171
2.584600,-7.0031,-3.4721,2.6135
2.586300,-7.0137,-3.4687,2.6100
2.588000,-7.0243,-3.4654,2.6064
2.589700,-7.0349,-3.4621,2.6029
2.591400,-7.0455,-3.4590,2.5994
2.593100,-7.0562,-3.4559,2.5959
2.594800,-7.0668,-3.4530,2.5923
2.596500,-7.0775,-3.4501,2.5888
2.598200,-7.0881,-3.4473,2.5853
2.599900,-7.0988,-3.4447,2.5819
2.601600,-7.1094,-3.4421,2.5784
2.603300,-7.1201,-3.4396,2.5749
2.605000,-7.1307,-3.4372,2.5715
2.606700,-7.1414,-3.4349,2.5681
2.608400,-7.1520,-3.4328,2.5646
2.610100,-7.1627,-3.4307,2.5612
2.611800,-7.1733,-3.4287,2.5578
2.613500,-7.1839,-3.4268,2.5545
2.615200,-7.1945,-3.4250,2.5511
2.616900,-7.2051,-3.4233,2.5477
2.618600,-7.2157,-3.4217,2.5444
2.620300,-7.2262,-3.4202,2.5411
2.622000,-7.2368,-3.4188,2.5378
2.623700,-7.2473,-3.4175,2.5345
2.625400,-7.2578,-3.4163,2.5312
2.627100,-7.2682,-3.4152,2.5280
2.628800,-7.2787,-3.4142,2.5247
2.630500,-7.2891,-3.4133,2.5215
2.632200,-7.2995,-3.4125,2.5183
2.633900,-7.3098,-3.4118,2.5151
2.635600,-7.3201,-3.4112,2.5120
2.637300,-7.3304,-3.4107,2.5088
2.639000,-7.3407,-3.4104,2.5057
2.640700,-7.3509,-3.4101,2.5026
2.642400,-7.3610,-3.4099,2.4995
2.644100,-7.3712,-3.4098,2.4965
2.645800,-7.3812,-3.4099,2.4935
2.647500,-7.3913,-3.4100,2.4905
2.649200,-7.4012,-3.4102,2.4875
2.650900,-7.4112,-3.4106,2.4845
2.652600,-7.4210,-3.4110,2.4816
2.654300,-7.4308,-3.4116,2.4787
2.656000,-7.4406,-3.4123,2.4758
2.657700,-7.4503,-3.4130,2.4729
2.659400,-7.4599,-3.4139,2.4701
2.661100,-7.4695,-3.4149,2.4673
2.662800,-7.4790,-3.4160,2.4645
2.664500,-7.4884,-3.4172,2.4618
2.666200,-7.4977,-3.4185,2.4590
2.667900,-7.5070,-3.4199,2.4564
2.669600,-7.5162,-3.4215,2.4537
2.671300,-7.5253,-3.4231,2.4511
2.673000,-7.5343,-3.4249,2.4485
2.674700,-7.5433,-3.4267,2.4459
2.676400,-7.5521,-3.4287,2.4434
2.678100,-7.5609,-3.4308,2.4409
2.679800,-7.5696,-3.4330,2.4384
2.681500,-7.5781,-3.4353,2.4360
2.683200,-7.5866,-3.4377,2.4335
2.684900,-7.5950,-3.4403,2.4312
2.686600,-7.6033,-3.4429,2.4288
2.688300,-7.6114,-3.4457,2.4265
2.690000,-7.6195,-3.4486,2.4243
2.691700,-7.6274,-3.4516,2.4221
2.693400,-7.6352,-3.4547,2.4199
2.695100,-7.6429,-3.4579,2.4177
2.696800,-7.6505,-3.4613,2.4156
2.698500,-7.6580,-3.4647,2.4135
2.700200,-7.6653,-3.4683,2.4115
2.701900,-7.6725,-3.4720,2.4095
2.703600,-7.6796,-3.4758,2.4075
2.705300,-7.6865,-3.4798,2.4056
2.707000,-7.6933,-3.4838,2.4038
2.708700,-7.7000,-3.4880,2.4019
2.710400,-7.7065,-3.4923,2.4001
2.712100,-7.7128,-3.4967,2.3984
2.713800,-7.7191,-3.5013,2.3967
2.715500,-7.7251,-3.5059,2.3951
2.717200,-7.7310,-3.5107,2.3934
2.718900,-7.7368,-3.5156,2.3919
2.720600,-7.7424,-3.5206,2.3904
2.722300,-7.7478,-3.5258,2.3889
2.724000,-7.7530,-3.5311,2.3875
2.725700,-7.7581,-3.5365,2.3861
2.727400,-7.7631,-3.5420,2.3848
2.729100,-7.7678,-3.5476,2.3835
2.730800,-7.7724,-3.5534,2.3823
2.732500,-7.7767,-3.5593,2.3811
2.734200,-7.7809,-3.5653,2.3799
2.735900,-7.7850,-3.5715,2.3789
2.737600,-7.7888,-3.5778,2.3778
2.739300,-7.7924,-3.5842,2.3769
2.741000,-7.7959,-3.5907,2.3760
2.742700,-7.7991,-3.5974,2.3751
2.744400,-7.8022,-3.6042,2.3743
2.746100,-7.8050,-3.6111,2.3735
2.747800,-7.8076,-3.6182,2.3728
2.749500,-7.8101,-3.6254,2.3722
2.751200,-7.8123,-3.6327,2.3716
2.752900,-7.8143,-3.6401,2.3710
2.754600,-7.8161,-3.6477,2.3706
2.756300,-7.8177,-3.6555,2.3701
2.758000,-7.8190,-3.6633,2.3698
2.759700,-7.8202,-3.6713,2.3695
2.761400,-7.8211,-3.6794,2.3692
2.763100,-7.8218,-3.6877,2.3691
2.764800,-7.8222,-3.6961,2.3689
2.766500,-7.8225,-3.7046,2.3689
2.768200,-7.8224,-3.7133,2.3689
2.769900,-7.8222,-3.7221,2.3689
2.771600,-7.8217,-3.7310,2.3691
2.773300,-7.8210,-3.7401,2.3692
2.775000,-7.8201,-3.7493,2.3695
2.776700,-7.8189,-3.7586,2.3698
2.778400,-7.8174,-3.7681,2.3702
2.780100,-7.8158,-3.7778,2.3706
2.781800,-7.8138,-3.7875,2.3712
2.783500,-7.8117,-3.7975,2.3717
2.785200,-7.8092,-3.8075,2.3724
2.786900,-7.8066,-3.8177,2.3731
2.788600,-7.8036,-3.8280,2.3739
2.790300,-7.8005,-3.8385,2.3747
2.792000,-7.7970,-3.8492,2.3756
2.793700,-7.7933,-3.8599,2.3766
2.795400,-7.7894,-3.8708,2.3777
2.797100,-7.7852,-3.8819,2.3788
2.798800,-7.7807,-3.8931,2.3800
2.800500,-7.7760,-3.9044,2.3813
2.802200,-7.7710,-3.9159,2.3826
2.803900,-7.7657,-3.9276,2.3840
2.805600,-7.7602,-3.9394,2.3855
2.807300,-7.7545,-3.9513,2.3871
2.809000,-7.7484,-3.9634,2.3887
2.810700,-7.7421,-3.9756,2.3904
2.812400,-7.7356,-3.9880,2.3922
2.814100,-7.7288,-4.0005,2.3941
2.815800,-7.7217,-4.0132,2.3960
2.817500,-7.7143,-4.0260,2.3980
2.819200,-7.7067,-4.0390,2.4001
2.820900,-7.6988,-4.0522,2.4022
2.822600,-7.6907,-4.0655,2.4045
2.824300,-7.6823,-4.0789,2.4068
2.826000,-7.6736,-4.0925,2.4092
2.827700,-7.6647,-4.1062,2.4117
2.829400,-7.6555,-4.1201,2.4142
2.831100,-7.6461,-4.1342,2.4168
2.832800,-7.6364,-4.1484,2.4195
2.834500,-7.6264,-4.1627,2.4223
2.836200,-7.6162,-4.1773,2.4252
2.837900,-7.6058,-4.1919,2.4281
2.839600,-7.5950,-4.2068,2.4312
2.841300,-7.5840,-4.2218,2.4343
2.843000,-7.5728,-4.2369,2.4375
2.844700,-7.5613,-4.2522,2.4407
2.846400,-7.5496,-4.2677,2.4441
2.848100,-7.5376,-4.2833,2.4475
2.849800,-7.5254,-4.2991,2.4511
