freq_GHz,S11_dB_flat_0pct,S11_dB_flat_5pct,S11_dB_flat_10pct,S11_dB_flat_15pct,S11_dB_flat_20pct
2.842000,-7.6132,-5.7830,-3.8980,-3.0880,-2.4970
2.844000,-7.5534,-5.7405,-3.8738,-3.0707,-2.4847
2.846000,-7.4942,-5.6984,-3.8499,-3.0536,-2.4724
2.848000,-7.4357,-5.6568,-3.8262,-3.0366,-2.4603
2.850000,-7.3778,-5.6156,-3.8028,-3.0198,-2.4482
2.852000,-7.3206,-5.5749,-3.7795,-3.0032,-2.4363
2.854000,-7.2640,-5.5346,-3.7565,-2.9867,-2.4245
2.856000,-7.2081,-5.4947,-3.7337,-2.9703,-2.4128
2.858000,-7.1528,-5.4552,-3.7112,-2.9541,-2.4012
2.860000,-7.0980,-5.4161,-3.6888,-2.9381,-2.3897
2.862000,-7.0439,-5.3775,-3.6666,-2.9222,-2.3784
2.864000,-6.9904,-5.3392,-3.6447,-2.9064,-2.3671
2.866000,-6.9374,-5.3013,-3.6230,-2.8908,-2.3559
2.868000,-6.8850,-5.2638,-3.6014,-2.8754,-2.3448
2.870000,-6.8332,-5.2267,-3.5801,-2.8601,-2.3339
2.872000,-6.7819,-5.1900,-3.5590,-2.8449,-2.3230
2.874000,-6.7312,-5.1536,-3.5381,-2.8298,-2.3122
2.876000,-6.6810,-5.1177,-3.5173,-2.8149,-2.3015
2.878000,-6.6313,-5.0820,-3.4968,-2.8002,-2.2909
2.880000,-6.5822,-5.0468,-3.4764,-2.7855,-2.2804
2.882000,-6.5336,-5.0119,-3.4563,-2.7710,-2.2701
2.884000,-6.4855,-4.9773,-3.4363,-2.7566,-2.2597
2.886000,-6.4379,-4.9431,-3.4165,-2.7424,-2.2495
2.888000,-6.3908,-4.9092,-3.3969,-2.7283,-2.2394
2.890000,-6.3442,-4.8757,-3.3774,-2.7143,-2.2294
2.892000,-6.2981,-4.8425,-3.3582,-2.7004,-2.2195
2.894000,-6.2524,-4.8096,-3.3391,-2.6867,-2.2096
2.896000,-6.2072,-4.7771,-3.3202,-2.6731,-2.1999
2.898000,-6.1625,-4.7449,-3.3015,-2.6596,-2.1902
2.900000,-6.1182,-4.7130,-3.2829,-2.6462,-2.1806
2.902000,-6.0744,-4.6814,-3.2645,-2.6330,-2.1711
2.904000,-6.0311,-4.6501,-3.2463,-2.6198,-2.1617
2.906000,-5.9882,-4.6191,-3.2282,-2.6068,-2.1524
2.908000,-5.9457,-4.5884,-3.2103,-2.5939,-2.1431
2.910000,-5.9036,-4.5580,-3.1926,-2.5811,-2.1340
2.912000,-5.8620,-4.5279,-3.1750,-2.5685,-2.1249
2.914000,-5.8208,-4.4981,-3.1576,-2.5559,-2.1159
2.916000,-5.7799,-4.4686,-3.1403,-2.5435,-2.1070
2.918000,-5.7395,-4.4394,-3.1232,-2.5311,-2.0981
2.920000,-5.6996,-4.4104,-3.1063,-2.5189,-2.0894
2.922000,-5.6599,-4.3818,-3.0895,-2.5068,-2.0807
2.924000,-5.6207,-4.3534,-3.0728,-2.4947,-2.0721
2.926000,-5.5819,-4.3252,-3.0563,-2.4828,-2.0636
2.928000,-5.5435,-4.2974,-3.0400,-2.4710,-2.0551
2.930000,-5.5054,-4.2698,-3.0237,-2.4593,-2.0467
2.932000,-5.4677,-4.2424,-3.0077,-2.4477,-2.0384
2.934000,-5.4304,-4.2153,-2.9917,-2.4362,-2.0302
2.936000,-5.3934,-4.1885,-2.9760,-2.4248,-2.0220
2.938000,-5.3568,-4.1619,-2.9603,-2.4136,-2.0140
2.940000,-5.3206,-4.1356,-2.9448,-2.4024,-2.0060
2.942000,-5.2847,-4.1095,-2.9294,-2.3913,-1.9980
2.944000,-5.2491,-4.0837,-2.9142,-2.3803,-1.9902
2.946000,-5.2139,-4.0581,-2.8991,-2.3694,-1.9824
2.948000,-5.1791,-4.0327,-2.8841,-2.3585,-1.9746
2.950000,-5.1445,-4.0076,-2.8693,-2.3478,-1.9670
2.952000,-5.1103,-3.9827,-2.8545,-2.3372,-1.9594
2.954000,-5.0764,-3.9581,-2.8400,-2.3267,-1.9519
2.956000,-5.0429,-3.9336,-2.8255,-2.3162,-1.9444
2.958000,-5.0096,-3.9094,-2.8112,-2.3059,-1.9370
2.960000,-4.9767,-3.8854,-2.7970,-2.2956,-1.9297
2.962000,-4.9441,-3.8617,-2.7829,-2.2855,-1.9225
2.964000,-4.9118,-3.8381,-2.7689,-2.2754,-1.9153
2.966000,-4.8798,-3.8148,-2.7551,-2.2654,-1.9082
