freq_GHz,Sdd11_real,Sdd11_imag,Zdiff_real,Zdiff_imag
1.7499,-0.6440330327269986,-0.1334424897242098,20.855833701902068,-9.80959811989064
1.7516,-0.6441288381109137,-0.12776553395566514,20.914779336419006,-9.396308237497639
1.7533,-0.6441785730247639,-0.12208894603626726,20.97425486331077,-8.982977588993272
1.755,-0.6441822119071193,-0.11641318751124306,21.03426497230506,-8.569600425954722
1.7567,-0.6441397347130865,-0.11073872122935258,21.094814415666292,-8.156171043598537
1.7584,-0.644051126986709,-0.10506601128552671,21.155908006004278,-7.7426837821023495
1.7601,-0.6439163799350738,-0.09939552295847909,21.21755061394672,-7.329133027736481
1.7618,-0.6437354905037181,-0.09372772264298249,21.279747165690896,-6.915513213791745
1.7635,-0.6435084614528901,-0.08806307777652628,21.342502640451574,-6.501818821290402
1.7652,-0.6432353014341874,-0.08240205676011797,21.405822067823262,-6.088044379469062
1.7669000000000001,-0.6429160250670595,-0.07674512887303264,21.469710525076867,-5.674184466023748
1.7686,-0.6425506530146441,-0.07109276418137243,21.53417313441096,-5.2602337071097525
1.7703,-0.6421392120583824,-0.06544543344033554,21.599215060179244,-4.846186777089808
1.772,-0.6416817351708435,-0.059803607990175076,21.664841506116456,-4.432038398028096
1.7737,-0.6411782615861858,-0.054167759645847524,21.731057712585002,-4.017783338926965
1.7754,-0.6406288368676741,-0.04853836058044694,21.797868953865276,-3.6034164147082843
1.7771,-0.6400335129716828,-0.04291588320255088,21.865280535512028,-3.1889324849415037
1.7788,-0.6393923483076199,-0.03730080002767186,21.933297791799433,-2.7743264523234403
1.7805,-0.6387054077932314,-0.03169358354407446,22.001926083276366,-2.35959326091771
1.7822,-0.6379727629047584,-0.02609470607324478,22.07117079445335,-1.9447278941617798
1.7839,-0.6371944917214603,-0.020504639625381654,22.141037331641023,-1.5297253726539386
1.7856,-0.6363706789640443,-0.014923855750305609,22.211531120958977,-1.1145807517327508
1.7873,-0.6355014160265802,-0.009352825384235333,22.282657606532993,-0.6992891188640539
1.7890000000000001,-0.6345868010015305,-0.0037920186929166766,22.354422248896114,-0.28384559085180067
1.7907,-0.6336269386975678,0.001758095088372505,22.426830523608317,0.1317546891092347
1.7924,-0.6326219406499038,0.007297047817398122,22.499887920107028,0.547516554520331
1.7941,-0.6315719251229108,0.012824372609540807,22.57359994079915,0.963444818784302
1.7958,-0.6304770171048686,0.01833960400378809,22.647972100403127,1.3795442785099818
1.7975,-0.6293373482947303,0.023842278129534114,22.72300992554743,1.795819716893395
1.7992,-0.6281530570808521,0.02933193287358743,22.798718954630168,2.212275907154393
