strain_pct,freq_GHz,S11_dB
0.0,2.464,-4.731539330512088
0.0,2.466,-4.698105364669468
0.0,2.468,-4.665063430547802
0.0,2.4699999999999998,-4.632407455968747
0.0,2.472,-4.600131490435839
0.0,2.474,-4.568229702090052
0.0,2.476,-4.536696374759733
0.0,2.4779999999999998,-4.505525905101297
0.0,2.48,-4.474712799827383
0.0,2.482,-4.444251673019207
0.0,2.484,-4.4141372435199235
0.0,2.4859999999999998,-4.38436433240616
0.0,2.488,-4.354927860534828
0.0,2.49,-4.325822846162476
0.0,2.492,-4.297044402634645
0.0,2.4939999999999998,-4.268587736142662
0.0,2.496,-4.240448143545554
0.0,2.498,-4.212621010254801
0.0,2.5,-4.185101808179655
0.0,2.502,-4.1578860937310065
0.0,2.504,-4.130969505881758
0.0,2.5060000000000002,-4.1043477642818
0.0,2.508,-4.078016667425677
0.0,2.51,-4.0519720908711685
0.0,2.512,-4.026209985507206
0.0,2.5140000000000002,-4.0007263758692835
0.0,2.516,-3.9755173585009453
0.0,2.518,-3.950579100359754
0.0,2.52,-3.925907837266303
0.0,2.5220000000000002,-3.901499872394945
0.0,2.524,-3.8773515748047327
0.0,2.526,-3.8534593780094175
0.0,2.528,-3.8298197785852444
0.0,2.5300000000000002,-3.806429334815269
0.0,2.532,-3.783284665369138
0.0,2.534,-3.760382448017101
0.0,2.536,-3.7377194183773783
0.0,2.5380000000000003,-3.715292368695628
0.0,2.54,-3.6930981466557107
0.0,2.542,-3.6711336542206654
0.0,2.544,-3.6493958465030496
0.0,2.5460000000000003,-3.6278817306637396
0.0,2.548,-3.606588364838333
0.0,2.55,-3.585512857090275
0.0,2.552,-3.5646523643900423
0.0,2.5540000000000003,-3.544004091619467
0.0,2.556,-3.523565290600559
0.0,2.558,-3.503333259148066
0.0,2.56,-3.4833053401450798
0.0,2.5620000000000003,-3.4634789206411005
0.0,2.564,-3.443851430971751
0.0,2.566,-3.424420343899686
0.0,2.568,-3.4051831737759737
0.0,2.5700000000000003,-3.3861374757214895
0.0,2.572,-3.3672808448276155
0.0,2.574,-3.348610915375794
0.0,2.576,-3.3301253600754137
0.0,2.5780000000000003,-3.3118218893195035
0.0,2.58,-3.293698250457686
0.0,2.582,-3.275752227086
0.0,2.584,-3.2579816383531117
0.0,2.5860000000000003,-3.240384338282427
0.0,2.588,-3.222958215109706
