freq_GHz,S11_dB
2.552,-12.924605693976233
2.5540000000000003,-12.768393303908947
2.556,-12.615617100906896
2.558,-12.466150941223606
2.56,-12.319875544648717
2.5620000000000003,-12.17667800306603
2.564,-12.036451332036147
2.566,-11.899094060989455
2.568,-11.764509858132028
2.5700000000000003,-11.632607186614997
2.572,-11.503298988909128
2.574,-11.376502396667881
2.576,-11.252138463661431
2.5780000000000003,-11.130131919625262
2.58,-11.010410943097817
2.582,-10.8929069515243
2.584,-10.77755440708258
2.5860000000000003,-10.664290636844957
2.588,-10.553055666029337
2.59,-10.443792063217847
2.592,-10.336444796530763
2.5940000000000003,-10.23096109984171
2.596,-10.127290348207554
2.598,-10.025383941764161
2.6,-9.925195197409565
2.6020000000000003,-9.826679247657717
2.604,-9.729792946102467
2.606,-9.634494778981335
2.608,-9.540744782374574
2.6100000000000003,-9.448504464614697
2.612,-9.35773673351894
2.614,-9.268405828090202
2.616,-9.180477254361852
2.6180000000000003,-9.093917725088925
2.62,-9.00869510301254
2.622,-8.924778347446997
2.624,-8.842137463959077
2.6260000000000003,-8.760743456927408
2.628,-8.68056828478635
2.63,-8.601584817774473
2.632,-8.52376679802128
2.6340000000000003,-8.447088801818712
2.636,-8.371526203935343
2.638,-8.297055143841973
2.64,-8.223652493727151
2.6420000000000003,-8.151295828189776
2.644,-8.079963395504187
2.646,-8.00963409036076
2.648,-7.940287427992045
2.6500000000000004,-7.871903519600311
2.652,-7.804463049008809
2.654,-7.737947250463968
2.6559999999999997,-7.6723378875211
2.658,-7.607617232950416
2.66,-7.543768049604676
2.662,-7.480773572193359
2.6639999999999997,-7.418617489912255
2.666,-7.357283929880464
2.668,-7.296757441340006
2.67,-7.237022980576027
2.6719999999999997,-7.1780658965180235
2.674,-7.119871916985984
2.676,-7.0624271355461
2.678,-7.005717998944165
2.6799999999999997,-6.949731295085932
2.682,-6.894454141536261
2.684,-6.839873974509781
2.686,-6.785978538328203
2.6879999999999997,-6.732755875320154
2.69,-6.680194316141668
2.692,-6.628282470495983
2.694,-6.577009218232764
2.6959999999999997,-6.526363700808384
2.698,-6.476335313089296
2.7,-6.426913695482314
2.702,-6.378088726375486
2.7039999999999997,-6.329850514875347
2.706,-6.282189393826295
2.708,-6.235095913098875
2.71,-6.188560833134234
2.7119999999999997,-6.142575118733555
2.714,-6.097129933080481
2.716,-6.052216631986461
2.718,-6.007826758348813
2.7199999999999998,-5.963952036811911
2.722,-5.92058436862247
2.724,-5.877715826670775
2.726,-5.835338650708852
2.7279999999999998,-5.793445242738844
2.73,-5.7520281625636995
2.732,-5.711080123493305
2.734,-5.670593988199659
2.7359999999999998,-5.630562764714597
2.738,-5.590979602564017
2.74,-5.5518377890334545
2.742,-5.513130745558881
